Sports Club Roles,Child Protection checked eg DBS?,Do you consent to Photography & Filming of your child?,Do you approve video & images of your child for Club external use?,Club Team Names,Team 1 ,Team 2,Dominant Foot,Dominant Hand,How many keepie uppies can you do?,Fav. Basketball Teams,Fav. Cricket Teams,Fav. Football (Soccer) Team,Fav. American Football Teams,Fav. Ice Hockey Teams,Preferred Positions (By Sport),,Training Frequency,Preferred Training Style,Past Injuries,Chronic Conditions,Allergies,Protective Gear Used,Sports Brand Preference,Supplements Used,,,Fav. Tennis Players,Fav. Rugby Teams,Fav. Rugby Players,Fav. Badminton Players,Fav. Squash Players,Fav. Basketball Teams,Fav. Basketball Players,Fav. MMA Fighters,Fav. Cricket Teams,Fav. Cricket Players,Fav. Football Teams (Soccer),Fav. Football Players (Soccer),Fav. American Football Teams,Fav. American Football Players,Fav. Baseball Teams,Fav. Baseball Players,Fav. Golf Players,Fav. Ice Hockey Teams,Fav. Ice Hockey Players,Fav. Boxers,Fav. F1 Drivers,Fav. Swimmers,Fav. Entertainment & Media
Coach,,,,,,,,,,Egypt,Zimbabwe,Tottenham Hotspur,New York Giants,Edmonton Oilers,Basketball - Point Guard,,,Jump Rope,Tennis Elbow,Diabetes Type 2,Pollen ,Elbow Pads,ASICS - GEL Kayano,L-Citrulline,,,Frances Tiafoe,Fiji,Aaron Smith,Saina Nehwal,Youssef Soliman,Egypt,Joel Embiid,Kamaru Usman,Zimbabwe,Glenn McGrath,Tottenham Hotspur,Karim Benzema,New York Giants,Dan Marino,Cleveland Guardians,Derek Jeter,Nick Faldo,Edmonton Oilers,Jaromir Jagr,Evander Holyfield,Jim Clark,Katinka Hossz˙,Documentaries
Volunteer,,,,,,,,,,Finland,Ireland,AC Milan,Las Vegas Raiders,Calgary Flames,Basketball - Shooting Guard,,,Circuit Training,Golfer’s Elbow,Hypothyroidism,Dust Mites,Boxing Gloves,ASICS - Metaspeed,HMB (Hydroxymethylbutyrate),,,Cameron Norrie,Tonga,Charles Ollivon,Zhao Yunlei,Victor Crouin,Finland,Damian Lillard,Henry Cejudo,Ireland,Muttiah Muralitharan,AC Milan,Luka Modric,Las Vegas Raiders,Steve Young,Seattle Mariners,Ichiro Suzuki,Greg Norman,Calgary Flames,Steve Yzerman,Lennox Lewis,Nelson Piquet,Federica Pellegrini,Video Games
First Aider,,,,,,,,,,France,Scotland,Inter Milan,Baltimore Ravens,Vancouver Canucks,Basketball - Small Forward,,,CrossFit,Elbow Dislocation,Hyperthyroidism,Mold & Fungi,Hand Wraps,New Balance - Fresh Foam,Caffeine,,,Hubert Hurkacz,Samoa,Damian Penaud,Tontowi Ahmad,Aly Abou Eleinen,France,Kyrie Irving,Dustin Poirier,Scotland,Adam Gilchrist,Inter Milan,Harry Kane,Baltimore Ravens,Terry Bradshaw,Texas Rangers,Nolan Ryan,Vijay Singh,Vancouver Canucks,Patrick Roy,Oscar De La Hoya,Mika Hakkinen,Sun Yang,Web Series
Accreditation Officer,,,,,,,,,,Georgia,Netherlands,Borussia Dortmund,Minnesota Vikings,Los Angeles Kings,Basketball - Power Forward,,,Tabata,Fractured Arm,Polycystic Ovary Syndrome (PCOS),Animal Dander ,Wrist Guards,New Balance - FuelCell,Electrolyte Supplements,,,Felix Auger-Aliassime,Japan,Will Jordan,Liliyana Natsir,Youssef Ibrahim,Georgia,Chris Paul,Francis Ngannou,Netherlands,Rahul Dravid,Borussia Dortmund,Antoine Griezmann,Minnesota Vikings,Tony Romo,New York Mets,Roger Clemens,Lee Trevino,Los Angeles Kings,Martin Brodeur,Roberto Duran,Kimi Raikkonen,Adam Peaty,Virtual Reality (VR) Entertainment
Parent/Helper,,,,,,,,,,Germany,Namibia,Atletico Madrid,Indianapolis Colts,San Jose Sharks,Basketball - Center,,,Plyometrics,Wrist Fracture or Sprain,Osteoarthritis,Insect Stings ,Finger Tape,Mizuno - Wave Rider,"Adaptogens (Rhodiola Rosea, Ashwagandha)",,,Tommy Paul,Georgia,Bundee Aki,Zhang Ning,Eain Yow Ng,Germany,Devin Booker,Valentina Shevchenko,Namibia,Steve Waugh,Atletico Madrid,Eden Hazard,Indianapolis Colts,Andrew Luck,Chicago White Sox,Sandy Koufax,Bernhard Langer,San Jose Sharks,Dominik Hasek,Julio Cesar Chavez,Nigel Mansell,Alexander Popov,Live Events & Concerts
Registrations Officer,,,,,,,,,,Greece,UAE,Ajax,Miami Dolphins,St. Louis Blues,American Football - Quarterback,,,Agility & Footwork Drills,Boxer’s Fracture,Rheumatoid Arthritis,Latex ,Grip Gloves,Mizuno - Morelia,Nootropic Blends,,,Alex de Minaur,Canada,Levani Botia,Tai Tzu-ying,Greg Lobban,Greece,Bradley Beal,Tony Ferguson,UAE,Viv Richards,Ajax,Paulo Dybala,Miami Dolphins,Matt Ryan,Washington Nationals,Greg Maddux,Fred Couples,St. Louis Blues,Bobby Hull,Bernard Hopkins,Emerson Fittipaldi,Kristin Otto,Talk Shows
Child Protection Officer (eg DBS),,,,,,,,,,Hungary,Oman,Roma,Los Angeles Rams,Colorado Avalanche,American Football - Running Back,,,Position-Specific Training ,Jammed Finger,Scoliosis,Synthetic Fabrics ,Shin Guards,HOKA ONE ONE - Clifton,Omega-3 Fatty Acids,,,Lorenzo Musetti,United States,Sam Whitelock,Nozomi Okuhara,Fares Dessouky,Hungary,Jimmy Butler,Justin Gaethje,Oman,Imran Khan,Roma,Raheem Sterling,Los Angeles Rams,Philip Rivers,Detroit Tigers,Pedro Martinez,Payne Stewart,Colorado Avalanche,Stan Mikita,Roy Jones Jr.,Mario Andretti,Janet Evans,News & Journalism
,,,,,,,,,,Iceland,Nepal,Lazio,Buffalo Bills,Dallas Stars,American Football - Wide Receiver,,,Tactical/Strategic Training,Dislocated Finger,Osteoporosis,Detergents & Fabric Softeners,Knee Pads,HOKE ONE ONE - Bondi,Turmeric,,,Borna Coric,Romania,Franco Mostert,Akane Yamaguchi,Miguel Rodriguez,Iceland,Donovan Mitchell,Robert Whittaker,Nepal,Ian Botham,Lazio,N'Golo Kante,Buffalo Bills,Eli Manning,Kansas City Royals,Randy Johnson,Nick Price,Dallas Stars,Phil Esposito,Marvin Hagler,Gilles Villeneuve,Pieter van den Hoogenband,Magazines & Periodicals
,,,,,,,,,,India,Papua New Guinea,Napoli,New Orleans Saints,Minnesota Wild,American Football - Tight End,,,Combat Sports Conditioning ,Mallet Finger,Fibromyalgia,Sports Tape & Adhesives,Knee Braces,Brooks - Ghost,Curcumin,,,Matteo Berrettini,Uruguay,Richie Mo'unga,Anthony Sinisuka Ginting,Baptiste Masotti,India,Zion Williamson,Jose Aldo,Papua New Guinea,Allan Border,Napoli,Paul Pogba,New Orleans Saints,Cam Newton,Miami Marlins,Tom Seaver,Johnny Miller,Minnesota Wild,Ray Bourque,Thomas Hearns,Jenson Button,Matt Biondi,Fashion & Lifestyle Media
,,,,,,,,,,Indonesia,Hong Kong,Sevilla,Tennessee Titans,Anaheim Ducks,American Football - Offensive Lineman,,,Static Stretching,Jersey Finger,Chronic Back Pain,Sunscreen & Skincare Products,Padded Compression Tights,Brooks - Adrenaline GTS,Tart Cherry Extract,,,Grigor Dimitrov,Russia,Damian de Allende,Chou Tien-chen,Mohamed ElSherbini,Indonesia,Karl-Anthony Towns,Joanna J?drzejczyk,Hong Kong,Michael Clarke,Sevilla,Manuel Neuer,Tennessee Titans,Dak Prescott,Minnesota Twins,Bob Gibson,Colin Montgomerie,Anaheim Ducks,Paul Coffey,Gennady Golovkin,Nico Rosberg,Jenny Thompson,Social Media Influencers
,,,,,,,,,,Iran,Canada,Benfica,Atlanta Falcons,Nashville Predators,American Football - Defensive Lineman,,,Dynamic Stretching,Carpal Tunnel Syndrome,Epilepsy,"Nickel (Jewelry, Watch Straps, Sports Gear)",Ankle Braces,Merrell - Trail Running,CBD Oil,,,Denis Shapovalov,Portugal,Lukhanyo Am,Ratchanok Intanon,Abdulla Al-Tamimi,Iran,Paul George,Ronda Rousey,Canada,Yuvraj Singh,Benfica,Gianluigi Donnarumma,Atlanta Falcons,Lamar Jackson,Colorado Rockies,Cy Young,Justin Rose,Nashville Predators,Mike Bossy,Canelo Alvarez,Jacques Villeneuve,Dana Vollmer,E-sports
,,,,,,,,,,Israel,USA,Porto,Carolina Panthers,Winnipeg Jets,American Football - Linebacker,,,Yoga,Sciatica,Multiple Sclerosis (MS),NSAIDs,Protective Cup,Merell - Bareshoot Shoes,Glucosamine & Chondroitin,,,Sebastian Korda,Spain,Tom Curry,Li Xuerui,Dimitri Steinmann,Israel,Trae Young,BJ Penn,USA,Chris Gayle,Porto,Romelu Lukaku,Carolina Panthers,Deshaun Watson,Oakland Athletics,Jackie Robinson,Henrik Stenson,Winnipeg Jets,Joe Sakic,Wladimir Klitschko,James Hunt,Grant Hackett,Graphic Novels & Comics
,,,,,,,,,,Italy,Kenya,Sporting CP,Cleveland Browns,Ottawa Senators,American Football - Cornerback,,,Pilates,Scoliosis-Related Back Pain,Parkinson’s Disease,Antibiotics,Cleats,Altra - Zero Drop Running Shoes,MSM (Methylsulfonylmethane),,,Daniel Evans,Namibia,Caelan Doris,Wang Yihan,Nicolas Mueller,Italy,Bam Adebayo,Demetrious Johnson,Kenya,Sanath Jayasuriya,Sporting CP,Erling Haaland,Cleveland Browns,Kyler Murray,Milwaukee Brewers,Roberto Clemente,Dustin Johnson,Ottawa Senators,Peter Forsberg,Vitali Klitschko,Damon Hill,Aaron Peirsol,Audiobooks
,,,,,,,,,,Japan,Bermuda,Lyon,Arizona Cardinals,Buffalo Sabres,American Football - Safety,,,Active Recovery (Low-Intensity Movement),Spinal Fracture ,Migraines & Chronic Headaches,Local Anesthetics,Running Shoes,Reebok,Collagen Peptides,,,Nick Kyrgios,Brazil,Jamie Ritchie,Han Aiping,Iker Pajares,Japan,Jaylen Brown,Dominick Cruz,Bermuda,Brett Lee,Lyon,Joshua Kimmich,Arizona Cardinals,Josh Allen,Cincinnati Reds,Cal Ripken Jr.,Jordan Spieth,Buffalo Sabres,Teemu Selanne,Tyson Fury,Jochen Rindt,Yuliya Efimova,Photography
,,,,,,,,,,Jordan,Uganda,Marseille,Detroit Lions,Arizona Coyotes,Baseball - Pitcher,,,Foam Rolling & Myofascial Release,Chronic Lower Back Pain,Neuropathy,Muscle Rubs & Recovery Creams,Court Shoes,Skechers,Calcium & Vitamin D3,,,Francisco Cerundolo,Chile,Mako Vunipola,Liem Swie King,Leonel Cardenas,Jordan,DeMar DeRozan,Rashad Evans,Uganda,Shoaib Akhtar,Marseille,Alisson Becker,Detroit Lions,Justin Herbert,San Diego Padres,Honus Wagner,Brooks Koepka,Arizona Coyotes,Pavel Bure,Deontay Wilder,Alberto Ascari,Florent Manaudou,Music Videos
,,,,,,,,,,Kazakhstan,Malaysia,Monaco,Washington Football Team,Florida Panthers,Baseball - Catcher,,,Ice Baths & Cold Therapy,Hip Labral Tear,Irritable Bowel Syndrome (IBS),Artificial Sweeteners,Cycling Shoes,Everlast,L-Carnitine,,,Roberto Bautista Agut,Hong Kong,Stuart Hogg,Li Lingwei,Adrian Waller,Kazakhstan,Ja Morant,Michael Bisping,Malaysia,Lasith Malinga,Monaco,Thibaut Courtois,Washington Football Team,Kirk Cousins,Tampa Bay Rays,Tony Gwynn,Justin Thomas,Florida Panthers,Joe Thornton,Anthony Joshua,Felipe Massa,Kosuke Kitajima,Cultural Festivals
,,,,,,,,,,Latvia,Singapore,RB Leipzig,Los Angeles Chargers,Tampa Bay Lightning,Baseball - First Baseman,,,Sauna & Heat Therapy,Hip Flexor Strain,Crohn’s Disease,Cold Weather Allergy,Wetsuits,Venum,Green Tea Extract,,,David Goffin,Kenya,Owen Farrell,Wang Shixian,GrÈgoire Marche,Latvia,LaMelo Ball,Urijah Faber,Singapore,Virender Sehwag,RB Leipzig,Toni Kroos,Los Angeles Chargers,Ryan Tannehill,Baltimore Orioles,Stan Musial,Bryson DeChambeau,Tampa Bay Lightning,Jarome Iginla,Andre Ward,Riccardo Patrese,Park Tae-hwan,Awards Shows
,,,,,,,,,,Lebanon,Qatar,Bayer Leverkusen,Tampa Bay Buccaneers,Carolina Hurricanes,Baseball - Second Baseman,,,,Hip Dislocation,Ulcerative Colitis,Hives,Body Armor,Twins Special,CLA (Conjugated Linoleic Acid),,,Milos Raonic,Belgium,Jonathan Sexton,Sung Ji-hyun,SÈbastien Bonmalais,Lebanon,Shai Gilgeous-Alexander,Lyoto Machida,Qatar,Anil Kumble,Bayer Leverkusen,Gerard Pique,Tampa Bay Buccaneers,Matthew Stafford,Pittsburgh Pirates,Carl Yastrzemski,Patrick Reed,Carolina Hurricanes,Marcel Dionne,Vasyl Lomachenko,David Coulthard,Rebecca Soni,Reality TV
,,,,,,,,,,Lithuania,Saudi Arabia,Eintracht Frankfurt,New York Jets,Columbus Blue Jackets,Baseball - Third Baseman,,,,Groin Strain,Acid Reflux (GERD),Heat Rash,Neck Brace,Shock Doctor,Capsaicin,,,Alexander Bublik,Germany,Siya Kolisi,Jan O. Jorgensen,Nathan Lake,Lithuania,De'Aaron Fox,Tito Ortiz,Saudi Arabia,Shakib Al Hasan,Eintracht Frankfurt,Marco Reus,New York Jets,Carson Wentz,Arizona Diamondbacks,Brooks Robinson,Rickie Fowler,Columbus Blue Jackets,Brett Hull,Terence Crawford,Gerhard Berger,Ranomi Kromowidjojo,Art Exhibitions
,,,,,,,,,,Malaysia,Kuwait,Schalke 04,Jacksonville Jaguars,New Jersey Devils,Baseball - Shortstop,,,,Pelvic Stress Fracture,Celiac Disease,Chlorine Sensitivity,,RDX Sports,Thermogenic Blends,,,Jan-Lennard Struff,Netherlands,Courtney Lawes,Son Wan-ho,Raphael Kandra,Malaysia,Rudy Gobert,Chuck Liddell,Kuwait,Kane Williamson,Schalke 04,Thomas Muller,Jacksonville Jaguars,Jared Goff,Los Angeles Angels,Frank Robinson,Bubba Watson,New Jersey Devils,Luc Robitaille,Errol Spence Jr.,Jean Alesi,L·szlÛ Cseh,Film Criticism & Reviews
,,,,,,,,,,Mali,Thailand,Wolfsburg,Cincinnati Bengals,Vegas Golden Knights,Baseball - Left Fielder,,,,ACL Tear,Lupus,,,Hayabusa,Multivitamins,,,Adrian Mannarino,,James Ryan,Kidambi Srikanth,Leandro Romiglio,Mali,Klay Thompson,Cain Velasquez,Thailand,Joe Root,Wolfsburg,Sergio Busquets,Cincinnati Bengals,Derek Carr,Orix Buffaloes,Reggie Jackson,Matt Kuchar,Vegas Golden Knights,Eric Lindros,Shawn Porter,Rene Arnoux,Kosuke Hagino,Content Creation & Influencing
,,,,,,,,,,Mexico,Indonesia,Villarreal,Houston Texans,Seattle Kraken,Baseball - Center Fielder,,,,MCL/LCL Sprain or Tear,Hashimoto’s Thyroiditis,,,Bauer,Vitamin C,,,Diego Schwartzman,,Kyle Sinckler,Parupalli Kashyap,Auguste Dussourd,Mexico,Draymond Green,Alistair Overeem,Indonesia,David Warner,Villarreal,Thiago Alcantara,Houston Texans,Jimmy Garoppolo,Fukuoka SoftBank Hawks,Pete Rose,Webb Simpson,Seattle Kraken,Chris Chelios,Keith Thurman,Carlos Reutemann,Mireia Belmonte,Food & Cooking Shows
,,,,,,,,,,Montenegro,Japan,Real Sociedad,Alabama Crimson Tide,Laval Rocket,Baseball - Right Fielder,,,,Meniscus Tear,Sjögren’s Syndrome,,,CCM,Vitamin D,,,Pablo Carreno Busta,,Julian Montoya,Kevin Sanjaya Sukamuljo,Ramit Tandon,Montenegro,Ben Simmons,Vitor Belfort,Japan,Rohit Sharma,Real Sociedad,Leroy Sane,Alabama Crimson Tide,Baker Mayfield,Hanshin Tigers,Ernie Banks,Xander Schauffele,Laval Rocket,Scott Niedermayer,Danny Garcia,Clay Regazzoni,Pernille Blume,Travel Shows
,,,,,,,,,,Morocco,South Korea,Athletic Bilbao,Clemson Tigers,Toronto Marlies,Ice Hockey - Goaltender,,,,Patellar Tendinitis,Chronic Fatigue Syndrome (CFS/ME),,,STX,Magnesium,,,Alejandro Davidovich Fokina,,Samu Kerevi,Marcus Fernaldi Gideon,Nick Wall,Morocco,Pascal Siakam,Fabricio Werdum,South Korea,Ben Stokes,Athletic Bilbao,David Alaba,Clemson Tigers,Joe Burrow,Yomiuri Giants,Johnny Bench,Tommy Fleetwood,Toronto Marlies,Nicklas Lidstrom,Amir Khan,Ronnie Peterson,Chad le Clos,Children's Entertainment
,,,,,,,,,,Netherlands,China,Valencia,Ohio State Buckeyes,Providence Bruins,Ice Hockey - Defenseman,,,,Runner’s Knee ,Depression,,,The North Face,Zinc,,,Laslo Djere,,Duane Vermeulen,Mohammad Ahsan,Omar Mosaad,Netherlands,Jrue Holiday,Renan Barao,China,Dale Steyn,Valencia,Mats Hummels,Ohio State Buckeyes,Tua Tagovailoa,Tokyo Yakult Swallows,Hank Greenberg,Paul Casey,Providence Bruins,Brian Leetch,Kell Brook,Romain Grosjean,Oussama Mellouli,Board Games
,,,,,,,,,,New Zealand,Argentina,Real Betis,Michigan Wolverines,Rockford IceHogs,Ice Hockey - Left Wing,,,,Shin Splints,Anxiety Disorders,,,Patagonia,Probiotics,,,Jiri Lehecka,,Faf de Klerk,Hendra Setiawan,Timothy Brownell,New Zealand,Khris Middleton,Eddie Alvarez,Argentina,Mitchell Starc,Real Betis,Raphael Varane,Michigan Wolverines,Trevor Lawrence,Chunichi Dragons,Rod Carew,Viktor Hovland,Rockford IceHogs,Al MacInnis,Sergey Kovalev,Heikki Kovalainen,Ye Shiwen,Card Games
,,,,,,,,,,Nigeria,Brazil,West Ham United,LSU Tigers,Grand Rapids Griffins,Ice Hockey - Right Wing,,,,Tibia Fracture,Bipolar Disorder,,,Columbia Sportswear,"Greens Powders (Superfoods, Spirulina, Chlorella)",,,Miomir Kecmanovic,,HandrÈ Pollard,Anders Antonsen,Yahya Elnawasany,Nigeria,Domantas Sabonis,Brock Lesnar,Brazil,Brendon McCullum,West Ham United,Timo Werner,LSU Tigers,Mac Jones,Saitama Seibu Lions,George Brett,Sungjae Im,Grand Rapids Griffins,Larry Robinson,Artur Beterbiev,Rubens Barrichello,Ruta Meilutyte,Role-Playing Games (RPGs)
,,,,,,,,,,North Macedonia,Chile,Leicester City,Oklahoma Sooners,Hartford Wolf Pack,Ice Hockey - Center,,,,Fibula Fracture,Post-Traumatic Stress Disorder (PTSD),,,Arc'teryx,Coconut Water Powder,,,Albert Ramos-Vinolas,,Freddie Steward,Jonatan Christie,Curtis Malik,North Macedonia,Nikola Vu?evi?,Alexander Gustafsson,Chile,Graeme Smith,Leicester City,Marcus Rashford,Oklahoma Sooners,Justin Fields,Hiroshima Toyo Carp,Eddie Murray,Si Woo Kim,Hartford Wolf Pack,Denis Potvin,Dmitry Bivol,Giancarlo Fisichella,Katinka Hosszu,Puzzles
,,,,,,,,,,Norway,Germany,Everton,Georgia Bulldogs,Wilkes-Barre/Scranton Penguins,Tennis - Singles Player,,,,Femur Fracture,Attention Deficit Hyperactivity Disorder (ADHD),,,Salomon,,,,Filip Krajinovic,,Damian Willemse,Lee Zii Jia,George Parker,Norway,Brandon Ingram,Kevin Lee,Germany,Hashim Amla,Everton,Jan Oblak,Georgia Bulldogs,Jameis Winston,Hokkaido Nippon-Ham Fighters,Dave Winfield,Adam Scott,Wilkes-Barre/Scranton Penguins,Bernie Parent,Oleksandr Usyk,Jarno Trulli,Bronte Campbell,Mobile Games
